Categoria,Descrição dos alimentos,Umidade (%),Energia (kcal),Proteína (g),Lipídeos (g),Carboidrato (g)
Cereais e derivados,"Bolo, pronto, milho","36,7",311,"4,8","12,4","45,1"
"Verduras, hortaliças e derivados","Brócolis, cru","91,2",25,"3,6","0,3","4,0"
Leite e derivados,"Leite, de vaca, integral, pó","2,7",497,"25,4","26,9","39,2"
Carnes e derivados,"Porco, bisteca, frita","47,3",311,"33,7","18,5","0,0"
Alimentos preparados,"Salada, de legumes, com maionese","82,0",96,"1,1","7,0","8,9"
Nozes e sementes,"Linhaça, semente","6,7",495,"14,1","32,3","43,3"
Cereais e derivados,"Pão, trigo, sovado","25,8",311,"8,4","2,8","61,5"
Leguminosas e derivados,"Paçoca, amendoim","1,8",487,"16,0","26,1","52,4"
Cereais e derivados,"Pastel, massa, crua","27,1",310,"6,9","5,5","57,4"
Frutas e derivados,"Pêra, Park, crua","83,2",61,"0,2","0,2","16,1"
Produtos açucarados,"Chocolate, meio amargo","1,0",475,"4,9","29,9","62,4"
Produtos açucarados,"Mel, de abelha","15,8",309,"0,0","0,0","84,0"
Frutas e derivados,"Pêra, Williams, crua","85,0",53,"0,6","0,1","14,0"
Cereais e derivados,"Biscoito, doce, recheado com chocolate","2,2",472,"6,4","19,6","70,5"
"Verduras, hortaliças e derivados","Coentro, folhas desidratadas","10,6",309,"20,9","10,4","48,0"
Alimentos preparados,"Cuxá, molho","81,0",80,"5,6","3,6","5,7"
Cereais e derivados,"Biscoito, doce, recheado com morango","2,7",471,"5,7","19,6","71,0"
Cereais e derivados,"Pão, de soja","26,0",309,"11,3","3,6","56,5"
Frutas e derivados,"Mexerica, Murcote, crua","83,7",58,"0,9","0,1","14,9"
Leguminosas e derivados,"Soja, extrato solúvel, pó","4,5",459,"35,7","26,2","28,5"
Cereais e derivados,"Pastel, de queijo, cru","31,3",308,"9,9","9,6","45,9"
"Verduras, hortaliças e derivados","Seleta de legumes, enlatada","82,1",57,"3,4","0,4","12,7"
Leite e derivados,"Queijo, parmesão","21,2",453,"35,6","33,5","1,7"
Alimentos preparados,Virado à paulista,"48,6",307,"10,2","25,6","14,1"
Frutas e derivados,"Cupuaçu, cru","86,2",49,"1,2","1,0","10,4"
Produtos açucarados,Cocada branca,"3,4",449,"1,1","13,6","81,4"
Produtos açucarados,"Maria mole, coco queimado","20,7",307,"3,9","0,1","75,1"
Frutas e derivados,"Banana, nanica, crua","73,8",92,"1,4","0,1","23,8"
Cereais e derivados,"Pipoca, com óleo de soja, sem sal","2,8",448,"9,9","15,9","70,3"
Produtos açucarados,"Doce, de leite, cremoso","27,5",306,"5,5","6,0","59,5"
"Verduras, hortaliças e derivados","Tomate, molho industrializado","88,1",38,"1,4","0,9","7,7"
Cereais e derivados,"Biscoito, doce, maisena","3,2",443,"8,1","12,0","75,2"
Leite e derivados,"Queijo, pasteurizado","54,4",303,"9,4","27,4","5,7"
"Verduras, hortaliças e derivados","Couve, manteiga, crua","90,9",27,"2,9","0,5","4,3"
"Verduras, hortaliças e derivados","Biscoito, polvilho doce","5,4",438,"1,3","12,2","80,5"
Outros alimentos industrializados,"Maionese, tradicional com ovos","58,4",302,"0,6","30,5","7,9"
"Verduras, hortaliças e derivados","Palmito, juçara, em conserva","91,4",23,"1,8","0,4","4,3"
Cereais e derivados,"Macarrão, instantâneo","6,0",436,"8,8","17,2","62,4"
Produtos açucarados,Maria mole,"21,6",301,"3,8","0,2","73,6"
"Verduras, hortaliças e derivados","Cenoura, crua","90,1",34,"1,3","0,2","7,7"
Cereais e derivados,"Biscoito, salgado, cream cracker","4,1",432,"10,1","14,4","68,7"
"Verduras, hortaliças e derivados","Mandioca, frita","36,6",300,"1,4","11,2","50,3"
Frutas e derivados,"Pitanga, crua","88,3",41,"0,9","0,2","10,2"
Cereais e derivados,"Pastel, de queijo, frito","17,5",422,"8,7","22,7","48,1"
Cereais e derivados,"Pão, trigo, francês","28,5",300,"8,0","3,1","58,6"
"Verduras, hortaliças e derivados","Manjericão, cru","93,0",21,"2,0","0,4","3,6"
Cereais e derivados,"Bolo, mistura para","1,0",419,"6,2","6,1","84,7"
Produtos açucarados,Melado,"22,1",297,"0,0","0,0","76,6"
Frutas e derivados,"Pinha, crua","75,0",88,"1,5","0,3","22,4"
Miscelâneas,"Café, pó, torrado","2,9",419,"14,7","11,9","65,8"
Carnes e derivados,"Lingüiça, porco, grelhada","50,5",296,"23,2","21,9","0,0"
"Verduras, hortaliças e derivados","Beterraba, crua","86,0",49,"1,9","0,1","11,1"
Miscelâneas,"Capuccino, pó","2,6",417,"11,3","8,6","73,6"
"Verduras, hortaliças e derivados","Pão, de queijo, cru","41,8",295,"3,6","14,0","38,5"
"Verduras, hortaliças e derivados","Brócolis, cozido","92,6",25,"2,1","0,5","4,4"
Cereais e derivados,"Farinha, láctea, de cereais","2,7",415,"11,9","5,8","77,8"
Produtos açucarados,Glicose de milho,"20,4",292,"0,0","0,0","79,4"
Frutas e derivados,"Jaca, crua","75,1",88,"1,4","0,3","22,5"
Produtos açucarados,Quindim,"23,9",411,"4,7","24,4","46,3"
Cereais e derivados,"Pão, milho, forma","30,4",292,"8,3","3,1","56,4"
"Verduras, hortaliças e derivados","Almeirão, refogado","86,5",65,"1,7","4,8","5,7"
Cereais e derivados,"Bolo, pronto, chocolate","19,3",410,"6,2","18,5","54,7"
Alimentos preparados,"Bife à cavalo, com contra filé","54,2",291,"23,7","21,1","0,0"
Frutas e derivados,"Banana, maçã, crua","75,2",87,"1,8","0,1","22,3"
Nozes e sementes,"Coco, cru","43,0",406,"3,7","42,0","10,4"
Alimentos preparados,Acarajé,"50,5",289,"8,3","19,9","19,1"
Alimentos preparados,Quibebe,"81,1",86,"8,6","2,7","6,6"
"Verduras, hortaliças e derivados","Mandioca, farofa, temperada","6,4",406,"2,1","9,1","80,3"
Carnes e derivados,"Carne, bovina, picanha, com gordura, grelhada","53,4",289,"26,4","19,5","0,0"
"Verduras, hortaliças e derivados","Serralha, crua","90,2",30,"2,7","0,7","4,9"
Frutas e derivados,"Macaúba, crua","41,5",404,"2,1","40,7","13,9"
Cereais e derivados,"Pastel, de carne, cru","34,4",289,"10,7","8,8","42,0"
